WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.8315857 -6.4901679)",1471.0,12.0,Kabupaten Bogor,3201.0,2.0,-6.4901679,106.8315857,1.0
"POINT (106.9517289 -6.8456539)",1472.0,12.0,Kabupaten Sukabumi,3202.0,2.0,-6.8456539,106.9517289,1.0
"POINT (107.1375954 -6.8145258)",1473.0,12.0,Kabupaten Cianjur,3203.0,2.0,-6.8145258,107.1375954,1.0
"POINT (107.6547863 -7.0820629)",1474.0,12.0,Kabupaten Bandung,3204.0,2.0,-7.0820629,107.6547863,1.0
"POINT (107.9073257 -7.2306311)",1475.0,12.0,Kabupaten Garut,3205.0,2.0,-7.2306311,107.9073257,1.0
"POINT (108.1083597 -7.5152038)",1476.0,12.0,Kabupaten Tasikmalaya,3206.0,2.0,-7.5152038,108.1083597,1.0
"POINT (108.35 -7.3333333)",1477.0,12.0,Kabupaten Ciamis,3207.0,2.0,-7.3333333,108.35,1.0
"POINT (108.4847068 -6.9751521)",1478.0,12.0,Kabupaten Kuningan,3208.0,2.0,-6.9751521,108.4847068,1.0
"POINT (108.4500208 -6.6855401)",1479.0,12.0,Kabupaten Cirebon,3209.0,2.0,-6.6855401,108.4500208,1.0
"POINT (108.2258897 -6.8531026)",1480.0,12.0,Kabupaten Majalengka,3210.0,2.0,-6.8531026,108.2258897,1.0
"POINT (107.8971896 -6.8415993)",1481.0,12.0,Kabupaten Sumedang,3211.0,2.0,-6.8415993,107.8971896,1.0
"POINT (108.3237307 -6.3376802)",1482.0,12.0,Kabupaten Indramayu,3212.0,2.0,-6.3376802,108.3237307,1.0
"POINT (107.756523 -6.5652672)",1483.0,12.0,Kabupaten Subang,3213.0,2.0,-6.5652672,107.756523,1.0
"POINT (107.4499399 -6.5386824)",1484.0,12.0,Kabupaten Purwakarta,3214.0,2.0,-6.5386824,107.4499399,1.0
"POINT (107.3375791 -6.3227303)",1485.0,12.0,Kabupaten Karawang,3215.0,2.0,-6.3227303,107.3375791,1.0
"POINT (107.1750948 -6.3691528)",1486.0,12.0,Kabupaten Bekasi,3216.0,2.0,-6.3691528,107.1750948,1.0
"POINT (107.4315093 -6.8923487)",1487.0,12.0,Kabupaten Bandung Barat,3217.0,2.0,-6.8923487,107.4315093,1.0
"POINT (106.8054931 -6.5979537)",1488.0,12.0,Kota Bogor,3271.0,2.0,-6.5979537,106.8054931,1.0
"POINT (106.9256362 -6.9233683)",1489.0,12.0,Kota Sukabumi,3272.0,2.0,-6.9233683,106.9256362,1.0
"POINT (107.6111844 -6.9150852)",1490.0,12.0,Kota Bandung,3273.0,2.0,-6.9150852,107.6111844,1.0
"POINT (108.5598818 -6.7319339)",1491.0,12.0,Kota Cirebon,3274.0,2.0,-6.7319339,108.5598818,1.0
"POINT (106.9897003 -6.2381115)",1492.0,12.0,Kota Bekasi,3275.0,2.0,-6.2381115,106.9897003,1.0
"POINT (106.8293134 -6.39)",1493.0,12.0,Kota Depok,3276.0,2.0,-6.39,106.8293134,1.0
"POINT (107.5355 -6.880239)",1494.0,12.0,Kota Cimahi,3277.0,2.0,-6.880239,107.5355,1.0
"POINT (108.2202838 -7.3388509)",1495.0,12.0,Kota Tasikmalaya,3278.0,2.0,-7.3388509,108.2202838,1.0
"POINT (108.5333333 -7.3666667)",1496.0,12.0,Kota Banjar,3279.0,2.0,-7.3666667,108.5333333,1.0
